                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3931,                0.73241,                 1.8651,                0.97322,                      1,                  0.995,                0.67481,                 1.0479,                0.57134,                 1.3136,                0.00406,                0.00406,                0.00406
                     62,                0.86058,                0.70776,                 1.2201,                0.97322,                      1,                  0.995,                0.67481,                 1.0479,                0.57134,                 1.3136,               0.003961,               0.003961,               0.003961
                     63,                0.60075,                0.60132,                 1.1652,                0.97307,                      1,                  0.995,                0.69754,                 1.0247,                 0.5333,                 1.2471,               0.003862,               0.003862,               0.003862
                     64,                0.77551,                0.55944,                  1.185,                0.97307,                      1,                  0.995,                0.69754,                 1.0247,                 0.5333,                 1.2471,               0.003763,               0.003763,               0.003763
                     65,                 1.8024,                 1.6453,                 2.1947,                0.95986,                0.97834,                  0.995,                0.75932,                0.90088,                0.58635,                 1.1506,               0.003664,               0.003664,               0.003664
                     66,                0.88315,                0.68322,                 1.3044,                0.95986,                0.97834,                  0.995,                0.75932,                0.90088,                0.58635,                 1.1506,               0.003565,               0.003565,               0.003565
                     67,                0.63734,                0.68423,                 1.0554,                0.91937,                0.99231,                  0.995,                0.77154,                 0.8678,                0.60552,                  1.138,               0.003466,               0.003466,               0.003466
                     68,                0.67239,                0.66658,                 1.0932,                0.91937,                0.99231,                  0.995,                0.77154,                 0.8678,                0.60552,                  1.138,               0.003367,               0.003367,               0.003367
                     69,                0.74338,                0.51071,                 1.1793,                0.90747,                0.99068,                  0.995,                0.77133,                0.93197,                0.63007,                 1.1639,               0.003268,               0.003268,               0.003268
                     70,                0.83933,                0.68626,                 1.3078,                0.90747,                0.99068,                  0.995,                0.77133,                0.93197,                0.63007,                 1.1639,               0.003169,               0.003169,               0.003169
                     71,                0.58141,                0.39699,                 1.0149,                0.93871,                0.99872,                  0.995,                0.69128,                 1.2564,                0.63025,                 1.5545,                0.00307,                0.00307,                0.00307
                     72,                0.78163,                0.61158,                 1.1357,                0.93871,                0.99872,                  0.995,                0.69128,                 1.2564,                0.63025,                 1.5545,               0.002971,               0.002971,               0.002971
                     73,                0.48531,                0.63658,                 1.0124,                0.97816,                      1,                  0.995,                0.70967,                 1.0084,                0.53026,                 1.2283,               0.002872,               0.002872,               0.002872
                     74,                0.67165,                0.47004,                 1.0615,                0.97816,                      1,                  0.995,                0.70967,                 1.0084,                0.53026,                 1.2283,               0.002773,               0.002773,               0.002773
                     75,                0.81432,                0.68126,                 1.2201,                0.98716,                   0.25,                  0.273,                 0.2457,                0.97184,                0.54486,                 1.1851,               0.002674,               0.002674,               0.002674
                     76,                0.91354,                 0.9225,                  1.275,                0.97923,                      1,                  0.995,                0.79685,                0.97184,                0.54486,                 1.1851,               0.002575,               0.002575,               0.002575
                     77,                0.53974,                0.58079,                 1.1286,                0.98068,                      1,                  0.995,                0.74716,                0.92614,                0.54564,                 1.1247,               0.002476,               0.002476,               0.002476
                     78,                0.48615,                0.57202,                 1.0156,                0.98068,                      1,                  0.995,                0.74716,                0.92614,                0.54564,                 1.1247,               0.002377,               0.002377,               0.002377
                     79,                0.54808,                0.41314,                 1.0604,                0.97917,                      1,                  0.995,                0.79655,                0.96732,                0.55236,                 1.1395,               0.002278,               0.002278,               0.002278
                     80,                0.68098,                0.60285,                 1.1835,                0.97917,                      1,                  0.995,                0.79655,                0.96732,                0.55236,                 1.1395,               0.002179,               0.002179,               0.002179
                     81,                0.66533,                0.97049,                  1.182,                 0.9815,                      1,                  0.995,                0.76087,                0.97438,                0.61716,                 1.1579,                0.00208,                0.00208,                0.00208
                     82,                0.56538,                0.45445,                 1.0724,                 0.9815,                      1,                  0.995,                0.76087,                0.97438,                0.61716,                 1.1579,               0.001981,               0.001981,               0.001981
                     83,                0.83985,                0.49304,                 1.1222,                0.98054,                      1,                  0.995,                0.74855,                 1.0578,                0.58485,                 1.2436,               0.001882,               0.001882,               0.001882
                     84,                0.88095,                0.68351,                 1.2566,                0.98054,                      1,                  0.995,                0.74855,                 1.0578,                0.58485,                 1.2436,               0.001783,               0.001783,               0.001783
